car,motorcycle,bus,truck,total,bbox_area_ratio,mean_bbox_area,max_bbox_area,brightness,sharpness,edge_density,zone_top,zone_mid,zone_bottom,bottom_motor,mid_car,cluster_density,crowd_density,is_night,is_rain,filepath,cam_id,label
6,5,5,1,17,0.0862587890625,5195.823529411765,18590.0,107.059154296875,270.16387044622803,0.051849609375,0,12,5,4,5,0.0862587890625,6.015677452087402,0,0,dataset_cleaned/cam08_20251206_081458.png,cam08,moderate
15,7,0,3,25,0.3176775,12198.816,36008.8,107.6309453125,370.5589290298165,0.07341210937499999,3,17,5,3,8,0.283640625,11.584331512451172,1,0,dataset_cleaned/cam10_20251206_203009.png,cam10,congested
4,8,0,3,15,0.0294443359375,2010.0666666666666,9900.0,131.4823251953125,254.36478158999526,0.0806689453125,4,11,0,0,3,0.0294443359375,1.7451400756835938,0,0,dataset_cleaned/cam09_20251209_102204.png,cam09,free_flow
12,13,1,1,27,0.1397099609375,5298.62962962963,38110.0,126.651787109375,289.11462716577046,0.08021484375,13,14,0,0,2,0.1397099609375,3.2741639614105225,0,0,dataset_cleaned/cam07_20251207_134327.png,cam07,free_flow
5,20,2,4,31,0.183470703125,6060.451612903225,37788.0,126.0147314453125,279.0225100993719,0.0649755859375,18,9,4,6,0,0.183470703125,9.081707000732422,0,0,dataset_cleaned/cam11_20251206_142014.png,cam11,moderate
9,35,3,3,50,0.2354521484375,4822.06,29673.0,119.221650390625,339.96380769273367,0.0905517578125,12,29,9,12,3,0.2354521484375,28.54141616821289,0,0,dataset_cleaned/cam11_20251206_073513.png,cam11,congested
4,22,1,2,29,0.14649609375,5172.827586206897,37736.0,125.3023486328125,312.7562765435638,0.090916015625,5,20,4,4,2,0.14649609375,4.752854347229004,0,0,dataset_cleaned/cam07_20251203_172625.png,cam07,free_flow
8,16,2,1,27,0.258607421875,9807.925925925925,91096.0,106.2182822265625,316.7132749233246,0.069072265625,4,21,2,3,5,0.258607421875,18.37811851501465,0,0,dataset_cleaned/cam08_20251203_121324.png,cam08,congested
7,22,1,0,30,0.11919031250000002,3814.09,23793.0,107.3405615234375,353.13694547580434,0.0620466796875,8,21,1,1,1,0.106419921875,7.2247233390808105,1,0,dataset_cleaned/cam10_20251208_210730.png,cam10,moderate
10,4,1,1,16,0.11111296875000001,6666.778125000001,23050.37,110.305306640625,369.10763331010037,0.06673330078125,4,9,3,2,6,0.0992080078125,3.008181571960449,1,0,dataset_cleaned/cam07_20251205_205741.png,cam07,free_flow
10,18,3,6,37,0.3075537109375,8511.756756756757,129960.0,126.8962626953125,320.5636652568207,0.100349609375,11,19,7,4,6,0.3075537109375,11.728687286376953,0,0,dataset_cleaned/cam10_20251205_104724.png,cam10,congested
4,30,1,3,38,0.240998046875,6494.263157894737,42780.0,122.8683515625,324.0274271689414,0.0974619140625,8,14,16,16,2,0.240998046875,30.211868286132812,0,0,dataset_cleaned/cam10_20251206_085008.png,cam10,congested
8,12,2,3,25,0.24184375,9905.92,50232.0,125.7834033203125,279.4507460878135,0.0671103515625,14,7,4,5,1,0.24184375,4.618196964263916,0,0,dataset_cleaned/cam11_20251208_125423.png,cam11,free_flow
1,0,0,0,1,0.018326875000000003,17593.8,17258.68,96.0763212890625,299.5126182719996,0.026352490234374998,0,1,0,0,1,0.01636328125,1.5214346647262573,1,0,dataset_cleaned/cam08_20251207_222335.png,cam08,free_flow
2,33,2,2,39,0.19679078125000002,4844.08076923077,16203.960000000001,92.470287109375,381.95149164759533,0.045577099609375,5,26,8,9,2,0.1757060546875,19.04578399658203,1,0,dataset_cleaned/cam11_20251204_221117.png,cam11,congested
13,25,5,2,45,0.3523896484375,8018.822222222222,45225.0,125.76615234375,270.42104805907815,0.066169921875,15,20,10,10,5,0.3523896484375,11.876317024230957,0,0,dataset_cleaned/cam11_20251208_155516.png,cam11,moderate
2,19,4,2,27,0.16873281250000002,5999.388888888889,42147.6,91.14972265625,384.6241036484005,0.043558349609375,11,14,2,4,0,0.150654296875,4.613410472869873,1,0,dataset_cleaned/cam11_20251208_220739.png,cam11,free_flow
8,5,0,2,15,0.1344678125,8605.94,46283.05,109.939216796875,383.69667763939196,0.07031923828125,6,8,1,0,4,0.120060546875,5.780219554901123,1,0,dataset_cleaned/cam07_20251209_180125.png,cam07,free_flow
6,7,1,4,18,0.264138671875,15026.555555555555,79696.0,111.012416015625,306.98341895672235,0.065716796875,4,11,3,3,5,0.264138671875,3.5723366737365723,0,0,dataset_cleaned/cam08_20251205_095729.png,cam08,free_flow
5,9,2,0,16,0.218681640625,13995.625,89598.0,84.5415615234375,337.73626611402017,0.04465234375,1,9,6,5,3,0.218681640625,8.001837730407715,0,0,dataset_cleaned/cam08_20251203_175232.png,cam08,moderate
8,24,1,8,41,0.3339189453125,8339.829268292682,65016.0,125.855341796875,315.63840951812364,0.088951171875,19,11,11,14,3,0.3339189453125,7.898541450500488,0,0,dataset_cleaned/cam11_20251205_122252.png,cam11,moderate
8,32,0,5,45,0.362578125,8250.666666666666,136220.0,126.933578125,358.6920995445013,0.1097265625,9,32,4,7,3,0.362578125,16.408246994018555,0,0,dataset_cleaned/cam10_20251209_093706.png,cam10,congested
9,5,0,2,16,0.062294921875,3986.875,9280.0,134.9851240234375,237.38955285205748,0.070712890625,3,13,0,0,8,0.062294921875,2.5045065879821777,0,0,dataset_cleaned/cam09_20251209_152654.png,cam09,free_flow
3,0,0,1,4,0.076418125,18340.350000000002,53053.24,83.839958984375,313.39440375366235,0.031600244140625004,1,2,1,0,1,0.06823046875,1.8254868984222412,1,0,dataset_cleaned/cam08_20251207_180335.png,cam08,free_flow
9,17,1,1,28,0.08878734375000001,3044.1375000000003,16772.52,104.59003125,350.3990478330966,0.058948828125000005,8,18,2,2,2,0.0792744140625,9.564079284667969,1,0,dataset_cleaned/cam10_20251207_205348.png,cam10,congested
